A;Asus;B;C;Csus;D;Dsus;E;F;Fsus;G;Gsus;A;Asus;B;C;Csus;D;Dsus;E;F;Fsus;G;Gsus;A;Asus;B;C;Csus;D;Dsus;E;F;Fsus;G;Gsus;A;Asus;B;C;Csus;D;Dsus;E;F;Fsus;G;Gsus;baseNote;variation1;variation2
0;0.0;1018946.2039879791;101960.61580555906;103430.41262914818;103533.44345658895;10572.726201445657;114405.8554638708;114903.94281361431;11584.096591018291;116111.55128092297;123091.23463054256;1273532;135333.55271867834;147435.3245477434;149181.10417638964;151039.45976565735;152977.3969761422;154037.06311452627;162308.88152924454;175766.00796028852;177197.1129171559;199186.61711718983;210660.96191701017;240774.75214650657;255945.69091593978;265086.45208516327;271870.149219398;27878.25417467379;299869.00710765854;300124.3914621502;32182.490576404216;406914.0672092821;47953.576276745705;499258.66040332674;5147054.362273321;613441.4836309903;672047.2619582633;7079523.08991224;74167.87736166772;75293.9047736579;83967.0554280686;86859.587467997;88704.06113788603;89009.91667235915;91368.34344382536;91434.73355145067;95023.22383562496;[A];[MAJ];[];
0;0.0;119567.31219960033;1273532;128804.17570709185;138286.75619089213;151298.81267192907;159133.35619526063;167404.90471102548;18814.126533315444;214561.57902668996;221676.22249837418;262783.37531573203;26495.154136863654;285740.9854720294;295388.13068332884;31683.43584231703;318674.6449792344;318768.1036495938;320257.9249713789;327383.6126375163;327730.6802088534;330948.53400345665;35870.49711681729;38212.2844007255;42819.09237065845;42934.3172289433;429513.684073751;444186.6999949861;468021.7369670808;47798.817737282145;482655.6083857119;5115617.405248797;52782.75570426378;538053.8599968683;5733119.672882188;57559.14814331242;57770.83897260767;596139.739058788;64673.4536389903;66604.3861619401;69154.04481353394;78916.84641386112;81162.32909441376;86093.07579015067;86972.0994363631;91421.21657459855;97471.1839005459;[A];[MAJ];[];
0;0.0;115697.98737535169;118270.06046672967;120911.90534824588;127193.3817304815;1273532;130637.896689296;154600.9461105529;162207.06818277348;171627.17437688186;176250.91400158152;180327.88796976357;183025.43194899452;189651.6469275828;257832.23179517884;26228.600167143286;293459.27331324;2956651.130174777;297681.46204831114;311511.99563510326;344031.2682741314;3611130.560062797;362921.834748116;367789.9791794721;37814.31620512397;40505.19700492094;423555.4437825112;425408.2907521605;441550.4114304292;467175.8309625913;49488.84794034582;54139.95848211655;584133.0605360703;592721.6053176512;60469.60465914491;69592.36720714552;71210.54912115487;74765.39193374173;76227.07147283216;76455.83801083232;835777.529221705;85333.24118223775;91712.63354340396;93179.91136096622;931834.5103841046;93557.64393958646;95375.94591606139;[A];[MAJ];[];
0;0.0;1047198.7621411073;1053388.6229721261;1157566.7491672728;1272673.0706031097;1273532;1339871.2511720737;1372976.59829356;147514.94481482977;1497023.4163283017;1535523.4755686661;1564505.745406558;1827711.338953223;235785.0543815257;238980.81746710683;2427971.128550919;2552011.9564719056;284703.32216843637;2848269.005199684;2919297.1093111993;295107.0879860726;299768.46314315114;310039.44922103506;310188.32602721365;321596.0538055995;3649991.075275627;370833.29249191104;393429.5593399235;405526.5173098189;414071.4172177295;4171050.5262042;427100.4210043733;4448796.123910188;447103.1471065316;464385.2918216188;4746595.59851397;609440.6780068378;6538788.836679627;690688.7233944997;696310.8549306041;727730.8985234654;738887.3496239685;8159512.991827047;8478649.498464782;881781.4749561507;9371175.716189185;9955191.399595287;[A];[MAJ];[];
0;0.0;110490.63188646511;113567.13438527856;114792.68727515532;1182998.7611720916;124354.7086994283;1273532;130838.29148963925;13418288.244268756;159805.4063681893;161450.43657918792;2011184.679052633;212564.72795591867;226922.0922750656;253967.39384651143;307964.86300045275;316377.3742097615;319296.9325464549;35219.76686623248;36438.76670654384;382841.2667639062;389872.86016673857;39505.509205248934;402626.6955601531;420944.3263649849;448812.0745436295;48147.62592314885;508898.8699537535;51583.82984027341;53468.82698621825;58550.725537488885;587548.0940407028;617614.7564362447;647553.2640622765;6551852.371404124;6769569.974748551;69241.21213408753;712832.1608943013;726327.5382030577;840246.7238345547;861573.990860793;87060.37707605111;875306.0341588703;903115.1936382198;956109.292307579;96946.27207240238;996386.2359911231;[A];[MAJ];[];
0;0.0;101195.07404063818;108897.45741028768;112688.34884754987;121198.33185918813;1227523.7040119036;123271.8695752886;124506.04147359352;1273532;1400119.7189176963;14098.870799339822;150596.5008855218;150711.1556449216;15307660.656055393;170928.71709927218;172497.72920447477;190397.7833011625;192953.22460090442;198716.85285727752;200979.7331853871;23552.142653536925;237192.18074414044;25890.988049965137;263659.4040734372;266765.72075756564;337151.52080052265;342001.23612089915;368634.6012313528;372166.33504568523;3866711.635686154;395832.2555933547;422711.6580514419;45805.9683112572;472329.1976431385;479479.13112327305;485358.54847186344;490003.8452418129;528803.4445460148;564497.2669554845;57022.49736006801;6127072.844712002;644505.205510962;768120.0922060965;77933.33934435813;81332.18140929088;826181.8459454286;94128.36592693628;[A];[MAJ];[];
0;0.0;100237.05667234169;107730.84687751789;107800.45573888485;115743.64275207257;118770.0027215422;1273532;129041.90217769853;132479.01962407815;13582216.373153921;142620.46025151637;146232.9238793008;15582.444930397547;165127.1273671607;1703861.4763807093;173828.3664508278;184916.52298914894;218591.90085446843;221320.71679470656;229938.50425637915;245672.2083928286;24673.133160169138;249426.92307184968;250446.29302402638;252739.53628270328;304056.2712914518;304959.1765413388;325418.68913514033;382556.9956787832;39071.418295062045;406279.269981861;438867.3044623381;446312.9676555816;471488.24229905877;480786.13464989304;488456.8830364818;550311.6207241173;57306.06834030497;60315.22487034742;63006.05861369072;7797462.345199347;83525.6002997382;852311.1210613637;933832.2129062663;95490.57502473377;985349.8500216533;98905.98834609114;[A];[MAJ];[];
0;0.0;1003261.3126066165;104266.48202050058;10804552.821792882;11466.511922867667;122412.81085204778;123932.35112931862;1273532;131048.7623914264;132702.6808120285;139025.39175037981;139939.58711673436;142983.03300287013;157710.75712607757;159407.29691764584;188444.94730134503;189969.96329786786;221639.42011582552;298082.7025737006;34410.71821191357;38361.442315116336;388125.522037527;400554.61908928334;41808.36759468439;448733.7052589553;498194.4556315034;53080.92229426579;556493.1293259634;56517.67219924791;57459.46568390838;57930.87685327838;58856.790755183036;607512.7983563583;625161.2651047136;62547.332365141876;63955.35580127881;68227.58714885911;6888085.118579405;689393.7424354667;74230.95474138076;74364.87627701848;77039.32956233053;77424.11072118007;779731.0147915004;835575.1875595803;88517.18275488923;98038.0007352239;[A];[MAJ];[];
0;0.0;112581.40256308702;115474.72350453062;118544.0864235434;122096.37588917573;1273532;133459.9564165185;144670.5189814132;154155.09748700185;16735.95096092224;178684.84007109195;187098.33682439438;213642.29294170826;225458.8224271181;241776.19665933755;326700.2125403709;341465.90844339563;36474.40471157816;384969.84351193503;39090.19289215978;391843.3017512747;43285.688805684644;4408782.411013894;44406.95807435136;54032.77433232615;567408.1710720563;574862.3255684357;60444.01394538298;60741.55287106611;678217.1098050182;69846.7232157058;70881.05203558787;7246974.75901944;734900.4999257252;73767.96693176299;764515.5414184891;76944.85504023184;77752.74331886267;82534.45789095765;83037.55454283651;882247.9787183377;89273.93089740787;94005.88256086395;96954.68943237989;977575.2624444145;97776.06369321205;98742.8783162939;[A];[MAJ];[];
0;0.0;1195526.1886256821;1273532;1486626.7412772279;15892705.105707668;1641618.9503245472;1749812.0066855517;1840759.9874414585;220400.91191506956;2326449.9077836713;2641022.215493011;3013912.2634021984;3016539.495992452;3023756.8333197;304637.82147723605;3568270.3117856383;357298.14570373256;3603943.579785944;3668372.9273988334;368152.4403753967;375325.1232576911;378205.02046410943;380672.3515409784;4042431.640388893;409897.6223007434;418276.6402514811;428005.2561426177;4316188.558395682;433248.37802573113;4343246.578766636;442413.45151727827;462224.1878560832;469298.7441190351;4876277.829462225;4971295.121578596;497996.5632483477;520165.2041193122;526821.2054581953;528181.9013676759;537639.917111329;562395.0598524907;5939621.106211036;675467.6180666434;7236104.2372082835;846056.378741806;860032.6776392777;916322.9103962668;[A];[MAJ];[];
0;0.0;1059404.0932537138;1070137.9574268623;1273532;1289916.5106154922;162255.17891080587;180216.94393152028;182260.9245206604;184996.20769458154;1912192.321209873;202566.0041330106;205028.0482080491;207274.48040331953;207645.8967214172;209171.2012164084;210938.8716280389;221091.3385242921;230012.93056700006;235110.95005593335;241377.1807667761;2512620.001847414;271606.3173748472;27528352.679783493;288642.60530230077;296587.2958886695;311237.5959853676;311397.78091980517;335014.8762639271;379040.9214068683;387917.21554804966;417471.3837550411;420482.51327195746;4515497.11276037;455701.9266784624;4611890.501479618;481539.28414132574;507105.1695479157;516850.4774485625;529101.0365264727;580249.4089993727;589702.5339831176;701089.9251186171;825852.2125586318;831588.2513960055;837210.5236902602;946036.7424539349;989896.6553666493;[A];[MAJ];[];
0;0.0;101409.60487282311;101773.16496818549;1023452.0374944053;1072388.636996251;109082.16313753129;113708.19365930284;117501.7024776065;1273532;146609.9576222252;147345.06764913473;151933.45719147337;161306.3365688906;186943.0836634396;197399.6654656592;2039635.807886625;226829.4600113244;2291065.0233930247;255432.21684802495;26800240.21742756;304493.77392203547;305266.3408018107;306437.4265972632;3188037.648153572;3249024.332509818;332760.8978879314;426175.1906131984;454334.4048906249;460920.2936686151;483240.1098212834;52312.09524472128;530474.9223575658;553853.9817729241;56713.95979325377;594469.4350290007;65556.85616956043;750416.8620844329;793878.3667180844;80385.73998241397;81929.88545636905;824635.4997989029;864021.6029322556;91718.29513039264;93637.24056511473;955778.7866251352;98185.75930307596;99294.45945998495;[A];[MAJ];[];
0;0.0;100720.49257044766;106289.03800382778;107745.3405061473;107803.44008413065;1203462.7563677044;122199.95487534929;1246108.161685241;1273532;13220.888130071244;1349141.8256168456;1507800.5126637516;15439.289165202968;161339.72208348307;1702858.7834365815;18191.786000156535;20363.016409142823;204770.27377629268;212041.07338960847;218116.66224682247;219330.49223502146;22759926.974031787;2451709.1238114703;277185.53394585825;291906.3106314333;30381.100701637894;314724.05346279923;334680.54877253884;336642.59490861604;37383.57663466626;39833.47676926306;4017.9841211378744;45115.12967091965;45737.47827995586;490481.4167916828;5989505.716476649;62673.72871230235;67807.05582869891;684066.7901012123;70449.57598951273;72866.62100721369;80650.44201711025;89777.22583899999;952215.5658136314;981492.2095213408;988429.8095603358;99905.44560241318;[A];[MAJ];[];
0;0.0;105243.22620841616;106525.45613052194;1089636.5594797602;109924.30504015736;1273532;132044.96623163947;145011.16632319352;15590.364771431485;15722.376612075319;162927.8069778304;1693694.6492204873;17422215.819838084;186915.60904384163;193911.1898215359;201580.23546331236;208238.283328151;23107.57329662448;242306.70279223542;255154.49197538782;285695.1623230596;34953.64199491694;35155.09700243652;35513.16272281228;357594.0733311244;39982.20297147534;401874.0441026048;514092.4661263402;60901.85642925521;624106.9446355094;6271661.660502573;63236.89469333238;67692.02966098917;68359.81253989681;73322.87173978741;750068.490943299;78622.09738072283;82457.33283838334;876959.6797072617;89680.1219816377;89765.30919038923;90354.98392899708;921547.200949352;937671.0478188337;965310.2444270708;979135.823564398;99254.61063688716;[A];[MAJ];[];
0;0.0;104002.79162337446;115683.63781020057;1273532;131454.73656768264;1363263.3458394697;150637.59893617078;151814.75344953136;153006.09836456846;1670647.2553577633;177007.78817232943;180322.38245139623;184201.55753968502;186119.99872718606;186365.09916867866;200746.54218270438;236896.43823129326;240635.3074208429;249013.19271560208;272677.74768188904;316185.170551378;368577.8643338731;381968.9058813844;43245.09957464253;436328.1532144729;4724572.429988165;507627.3630442269;56868.265516796884;56986.52527380715;607574.6033724244;611637.6145107179;615005.4683544826;658691.4449412773;674966.7441218419;72920.85830470776;742357.6076500212;74300.18158495125;81060.10631490315;816158.6392785909;81734.72408630284;884253.2770269762;90070.24456431119;925457.1653622967;936765.8300129098;94388.46268160945;96502.02539973974;9963995.6526205;[A];[MAJ];[];
0;0.0;109001.93036104285;121456.33528410904;127084.9553646135;1273532;147228.99987402625;1534252.5594613347;154461.50831588972;160566.48886484586;165923.15021879078;171816.01415451124;1819.4579547270037;196137.39407290943;207948.95674499977;222105.78085577732;227888.12864218093;276904.5938697747;28155.540000798097;2816762.57368155;282836.19597295264;28464.51127013258;29536.64724147027;368836.830036304;395330.1663180213;398154.8629153498;40271.91375563033;41788.636729626305;44933.68551182546;450935.30648460286;45579.13300343168;502026.7830486847;50918.22095011165;554639.4777638391;55501.77600957437;57608.719273945295;610515.2337704076;635463.8538538236;64034.421769294226;68128.70235461206;68723.87352731978;7036566.148497841;71184.71142281317;715323.5629932279;77860.37486878813;92503.7778432727;94520.39066464108;96847.48781037376;[A];[MAJ];[];
0;0.0;100099.41854067612;107510.53086276066;123887.04782171208;1273532;130641.17126959565;135564.79835617408;139471.78465416143;144793.76818665944;166707.0748554437;175925.7908393479;179131.94390356948;180949.89903790865;1838474.5197457238;186132.52576526505;199312.55429862524;205158.49841743687;214400.04093563557;221034.01349786742;227605.45024899943;254905.89340437696;285383.38202245475;305212.2146312267;306893.7858286782;456075.0230169372;460994.8127227419;491872.07966810575;502313.7711156407;511792.0820057844;522920.1888258;555032.4982996127;556083.7227270349;596696.4890082899;616566.3805984055;6200679.701608423;64203.63444687826;665553.7933328403;66590.30365434296;75130.15135399143;782435.9371229497;805911.1213159973;830223.3635997841;831613.7645308826;907210.2883904229;917048.1365411691;92685.30086401022;95911.7131780439;[A];[MAJ];[];
0;0.0;104067.94129097048;1144096.781915785;1176406.8080416042;122774.88619193248;1252025.7089185847;1273532;1349408.3335705088;137835.38253087382;1476384.1089693427;1486634.5651031814;156195.90125421205;157970.49535733004;158608.2746007263;1626769.9016235052;1629497.7463665453;166584.73310155372;16866051.244144626;169876.77232460113;171676.84306683543;1741195.559796415;187102.31511651466;190611.2813708821;1916625.0268573638;199810.10132161152;203632.775371417;217781.80104932742;2184878.2397480467;239043.80287413578;2423914.219713059;249765.76365001884;3037092.8332459233;371036.7660091577;611505.8434667711;651073.1325024755;663998.9580434718;676416.9263963155;734343.784524339;735392.2715519023;7862709.551051123;789529.338061897;833134.4957370142;836677.3974578711;936579.8368712628;9464261.63444778;963018.8728067927;965751.2718249988;[A];[MAJ];[];
0;0.0;1042555.441087507;1093479.033267193;112881.77669312627;115330.16861748997;1155476.5849599;1273532;127769.80276898445;138673.3781633569;147288.45206712748;14807641.603653692;149197.17631106026;165874.01236400206;1689660.6009202243;192160.44573917272;202338.07226008945;206571.15227821024;211145.65920204372;249412.61415407434;257309.89264416648;27590.648455590108;304386.3118845385;309209.1476597377;317005.2404529627;342693.03832164226;357716.2297573716;366500.94257082074;378610.8123965054;404548.83364686655;423674.099503868;4490872.118182331;4552149.859911344;495326.6776791389;52915.106444290395;57671.55937253914;62337.857556977964;71400.234997502;730660.8742020228;775476.8226267777;792355.5390463423;821854.7220340343;83182.85170422052;877759.566752068;892219.1917250201;90589.9329167308;93859.16749011312;99254.65821491284;[A];[MAJ];[];
0;0.0;101088.48568445379;107537.75941346034;113276.62568294271;11782.384542377891;1212257.4209289658;1273532;13237095.684265211;134099.70154649415;138815.1207182155;143180.52602838393;159656.07238448953;160508.24050796803;191029.00927114443;212182.63310042495;218277.45929759572;224161.33673268382;2313407.4331768667;232595.88867504813;2460175.3623935664;260190.69571145315;264111.83317121415;269406.1648519528;272450.56225082115;27356.84658731463;330051.85344745877;336957.9565098439;353698.47270547046;369936.39757418813;39161.27853611772;439655.62789532886;506499.1062862195;51674.49209735614;576475.5667158741;59599.273868288044;621033.494497024;650104.06533532;66425.18618029924;743028.3077215052;746948.1631047641;74924.89076021635;79238.60549524096;80395.08981532247;82010.4259249682;82488.80810146176;877595.641447481;918571.8779316603;[A];[MAJ];[];
0;0.0;1006262.5633452031;102569.11618422657;103469.88452921085;104459.47335826224;106321.6094444664;110114.74212852544;110325.87241496815;110967.68731521578;11187444.85883812;115847.15972918857;120704.30108877273;1273532;143280.99968281173;145055.37790966404;156796.6503046626;163777.4877072527;174147.6968998171;205809.79817803565;240835.79275400547;251356.91697263447;272188.7881212744;280620.32344108523;290520.5125777845;312709.51621427026;341163.26353862335;359967.8478048194;365640.44858678506;36866.094350851294;3897676.0060260603;39956.22561638093;417962.92329837516;459346.21223856177;461268.4144920621;480204.03234688664;48958.80184850923;55144.957327862525;560602.1390910309;62888.687598637756;675533.9377681906;684232.6576837541;73129.72992316299;78936.62928855859;81689.55662172801;832836.9500561509;91942.05415372143;98707.59701240192;[A];[MAJ];[];
0;0.0;103161.8036858967;104793.45424570561;109662.75464511165;110266.37294314592;112619.24603233467;114327.08486061965;115855.53655732934;116779.09594733473;117864.79258929339;126345.80478899741;126849.33798609818;126956.53369294446;127187.6560929806;1273532;129238.439550533;132103.0933655227;150341.7015012414;152679.87390587962;154723.55353469608;195731.89639623687;198537.6574302613;226301.83464798582;278293.3224552748;279662.17506403156;280103.260421061;282361.1426679147;283883.14330335666;285128.8688199103;290866.34311313037;309451.535650696;314987.9246650598;332955.4844514804;333280.66355702636;3662913.9906639024;367074.57377577014;405229.3751876888;445663.5990603082;446895.8973841786;575812.2512298684;59592.06887229935;615160.282916002;71771.96021151695;777426.3267162974;79321.37076712267;8209971.944784687;83245.74240794094;[A];[MAJ];[];
0;0.0;100117.4388185114;104978.22319288587;109875.9578402409;111584.00789271608;112491.67720712154;112680.5230928696;112732.75664211932;121280.20285947289;121692.73782203691;1273532;146325.58308000484;147155.34756455853;150530.65452445456;153311.63440269732;156465.6997609888;156981.05207886815;157428.02301315812;160655.22423401067;161886.21582950378;163911.69090925256;168277.18238810342;172569.94292007844;179770.95875251273;187304.85254991593;199276.0369197218;211389.613862528;245799.28162000395;245971.04329487245;261458.1049705992;264570.51729601267;2650331.130909357;287779.8162965668;313283.06916123215;330268.8927832625;337678.25438914436;352386.026683361;360548.57177051826;392148.2831863059;392627.9001473813;491059.1770450621;5545430.113605275;580968.8247123256;59048.540116527365;66535.20997419178;67516.71974273214;71502.43463820667;[A];[MAJ];[];
0;0.0;1273532;132331.5225155449;142573.2755484672;144951.70342234737;150960.93152554135;168005.09764096438;170700.58109708538;178162.43497243983;1873247.3234892378;193723.4009605814;203172.51750493134;204868.79147068545;207062.2144087305;224203.23441821313;23790.988062591834;238712.55985010363;253402.75188510746;281722.7719451737;29369.52434221557;349836.08420100046;35315.0391130428;399529.13696116797;4113270.3448543227;45119.04093577097;45740.1744838361;461197.66526129865;50318.92622813404;54839.395848389955;55091.63427924582;55866.48767655633;562686.8770754031;58644.36402395519;59648.78679537315;62997.38710241323;65304.207191481;65717.98584549238;66730.1581798195;68529.93311643318;80484.39852730355;80838.85205031832;81787.87955205928;85891.34787265753;90871.15069669661;90956.62583615424;91737.34943900876;93116.4645532689;[A];[MAJ];[];
0;0.0;101003.63474996695;103472.04800189551;12079.862655866558;1273532;13002.843119422176;14368.106274627162;1680855.5887546474;168965.72043304486;175239.744152849;177333.56679770697;20727.97234590419;218155.47971016774;222187.99818810215;226107.6733699059;26995.32295025498;31720.46258723171;3206702.3428939;32707.004284219627;33768.87187071732;344062.60743966827;35878.04184259352;393052.60357504955;39648.954679877475;40912.77622812354;45035.37832452459;45197.33403613951;45492.70578026563;46013.13466839225;48189.71731613026;50536.14055657086;53942.659428533945;57972.30700413971;61192.58043287777;650455.0046250024;65647.95897511131;67625.30484463455;70901.33167095721;71840.64858536828;73083.15954315884;73612.02118685203;73858.07368618005;74658.6945738653;75213.1067401085;89398.56237093784;96238.51390605554;98734.79079475776;[A];[MAJ];[];
